county_fips,population,estimated_houses,allstate_policies_in_force,allstate_pif_fraction
1001,52724,13708,783,0.05711992996790195
1003,182086,47341,4746,0.10025136773621174
1005,28155,7320,806,0.11010928961748634
1007,23339,6069,645,0.10627780523974295
1009,45074,11719,1143,0.09753391927638877
1011,9483,2466,184,0.0746147607461476
1013,18864,4905,584,0.11906218144750255
1015,110569,28749,2188,0.07610699502591395
1017,38665,10054,1296,0.12890391883827332
1019,34920,9079,460,0.05066637294856262
1021,40292,10475,1169,0.11159904534606205
1023,13790,3584,309,0.08621651785714286
1025,27712,7205,743,0.10312283136710618
1027,11696,3041,277,0.0910884577441631
1029,16015,4164,234,0.056195965417867436
1031,50585,13152,1471,0.11184610705596107
1033,52812,13731,878,0.0639429029203991
1035,14919,3879,342,0.08816705336426914
1037,11022,2866,239,0.08339148639218423
1039,39308,10220,868,0.08493150684931507
1041,13346,3470,411,0.11844380403458213
1043,79253,20606,1289,0.06255459574881103
1045,44866,11665,814,0.0697813973424775
1047,43897,11413,906,0.07938315955489354
1049,69359,18033,1011,0.05606388288138413
1051,85618,22261,2062,0.09262836350568258
1053,38199,9932,943,0.09494563028594442
1055,107141,27857,2595,0.09315432386832753
1057,24676,6415,485,0.07560405300077942
1059,33950,8827,467,0.05290585702956837
1061,27456,7138,632,0.08854020734099187
1063,8619,2240,179,0.07991071428571428
1065,16148,4199,389,0.09264110502500596
1067,20020,5206,565,0.10852862082212832
1069,101983,26516,2296,0.08658922914466737
1071,55051,14314,959,0.06699734525639234
1073,657976,171069,17538,0.10252003577503814
1075,14530,3778,283,0.0749073583906829
1077,93275,24252,2949,0.12159821870361208
1079,39873,10367,1064,0.10263335584064821
1081,135618,35261,2893,0.08204531919117439
1083,79556,20686,1963,0.09489509813400368
1085,14186,3688,437,0.11849240780911063
1087,20920,5439,339,0.06232763375620518
1089,337795,87826,7350,0.0836882016714868
1091,20201,5253,549,0.10451170759565963
1093,21585,5612,362,0.06450463292943692
1095,99356,25832,2466,0.09546299163827811
1097,413308,107464,8848,0.08233454924439812
1099,21802,5669,672,0.11853942494267067
1101,226695,58942,5464,0.09270129958264056
1103,113160,29422,2782,0.09455509482700021
1105,10824,2814,280,0.09950248756218906
1107,20127,5235,469,0.08958930276981852
1109,35192,9149,664,0.07257623784020112
1111,22747,5914,335,0.0566452485627325
1113,52600,13677,729,0.05330116253564378
1115,77005,20020,2277,0.11373626373626373
1117,221398,57563,6597,0.11460486771016104
1119,13537,3521,250,0.07100255609201932
1121,83375,21677,1354,0.06246251787608986
1123,36549,9503,1091,0.11480585078396296
1125,186401,48464,4022,0.08298943545724662
1127,62739,16313,1424,0.08729234352970024
1129,17459,4539,491,0.1081736065212602
1131,11560,3007,247,0.08214166943797806
1133,26364,6855,472,0.06885485047410649
2013,3138,816,80,0.09803921568627451
2016,5362,1396,180,0.12893982808022922
2020,277273,72092,5129,0.07114520335127338
2050,31564,8204,674,0.08215504631886884
2060,623,162,15,0.09259259259259259
2063,6689,1738,229,0.13176064441887228
2066,2892,752,60,0.0797872340425532
2068,1536,399,39,0.09774436090225563
2070,4847,1261,151,0.11974623314829501
2090,78588,20432,1257,0.061521143304620204
2100,2602,677,53,0.07828655834564253
2105,2055,535,41,0.07663551401869159
2110,31275,8132,443,0.054476143630103294
2122,55398,14404,1310,0.0909469591780061
2130,13508,3512,182,0.051822323462414575
2150,13579,3531,246,0.06966864910790145
2158,7459,1939,197,0.10159876224858175
2164,2005,521,44,0.08445297504798464
2170,89128,23173,2374,0.10244681310145427
2180,9492,2467,291,0.1179570328334009
2185,8999,2340,191,0.08162393162393163
2188,7523,1956,212,0.1083844580777096
2195,3202,833,70,0.08403361344537816
2198,6139,1597,119,0.07451471509079524
2220,8880,2309,200,0.08661758336942399
2230,968,252,23,0.09126984126984126
